Word	Pronunciation	POS	Meaning	Verb Class		Volition status				first number is used in counting up from 1 (hai is also used in time); second number is the generally used modifier (number + noun) 				tanmqe/ camgyu 								teptyu (coinage system)					
bej	bɛʒ	v	let; allow (might be defunct due to imperative and permissive)	1	Active/Stative (free)							ase					Alkha	lona-l-kh-nna	person who is loved	Thotekha	land of deep rivers			Monday	Sauliis	big moon	
biin	bɪn	v	explain	1	Is it voluntary or involuntary?							aske					Haval/ Avlik(nna/o)	Yhava-Likae-nna-to	God who saves now	Vhumba	koimouth			Tuesday	Vhe'aliis	small moon	
biincet	bɪnçɛt	v	show; display; exhibit; be easily read (for emotions/expressions; not necessarily on purpose)	2								ato					Qliml / Imil(ma/nna)	q-liman-l-nna / lim-l-ma-nna	person who was annointed	Saestya	place of endless sand			Wednesday	Saejliis / saeliis	sand / cloth	
biinlcet	bɪnlçɛt	v	(to be put) on display	2	Yes = Stative; No = Active							atoy					Lonna	Lona-nna	love/ person who loves	Soethsa	canyon of the deep sun 			Thursday	tyauliis	metal	
biinse	bɪnsɛ	v	show; share (something)	2								auham					Yhava'iir (Hav'iir)		God is with/ with God (Emmanuel)	Vhili	moon-wall			Friday	aeliis	water	
biintsu	bɪntsu	v	display; exhibit (something; actor not necessarily present)	2	Telic/Atelic (fixed/slight movement)							awa					Suonka /Suonna		wastelander	Serach	elephant-ford			Saturday	khaliis	earth	
bjangkae	b̩ʒɑŋke	v	refine (from make refined ore; can replace bja with specific metal like briithangkae - refine iron)	4	1) If I start ____ and am inturrupted part way through; will I(it) have still been ____?							awri					Suonkeun		wasteland person	Xiat				Eightday	kviliis	return/eight	
caeskae	çeske	v	pierce; stab	4	2) Does my action have a purpose, goal, or end result?							ay					Luthytnna		person who will take root	Sengai							
caitayo	çaɪtɑjo	v	give your life to something; form a career or hobby or life's work	1								ben					Shaekith		from rainforest	Hejivan				Hatsa (Seasons)			
caitsekae	çaɪtsɛke	v	give up your life	4	1) Yes = Atelic; No = Telic							benau					Shaeve'a		from grove	Yhose	v			Yanua	Cool season (autumn)		
chenkae	ʧɛnke	v	wring; twist	4	2) No = Atelic; Yes = Telic							bihn					Kirykha	kiry-kh-nna	one who encodes	Poraiya	? + river head			(ii'yanua)	Little Autumn (every 10 yrs)		
chese	tʃɛsɛ	v	eat	2								boda					Twnilytovh		heaven (honor)father	Yeo'eno Taelu	Bay of the rain song (talented + rain + performance)			Noaua	Long summer		
chibnon	tʃibnon	v	feel an overwhelming hatred (stative); implies hate coming over you	3	Change/Unchanged (fixed)							bont					Yhalik Imil	Anointed God who saves now	Jesus Christ	Chesa	?-canyon			(ii'noaua)	Small summer (every 10 yrs)		
chifetyo	tʃifɛtjo	v	trigger; set off (emotionally; usually to irrationality and anger; not trauma)	2	Does (my)it's shape/composition/state differ from when (I)it started?							cavo								Qin				Bemyua	Warm season (Spring)		
chilcet	tʃilçɛt	v	be clung or adhered to something	2								cem								Zveti				(ii'bemyua)	Little Spring (every 10 yrs)		
chim'en	tʃimʔɛn	v	cling to; adhere to involuntarily (patient focus)	e	Yes = Changed; No = Unchanged							jauha					Beth		blossom	Akada	v			Tsulua	Small winter		
chiman	tʃimɑn	v	hate; despise; resent	3													Rushk		wire	Vera				Tsanua	Long winter (every 10 years) - 'Atsanua (strange winter)		
chimse	tʃimsɛ	v	cling to; adhere to; cleave to (patient focus)	2	Body/Mind (free)							ceyn					Esali / Esalii	Esal-ii-go-nna	Reviver	Mideh							
chimtso	tʃimtso	v	adhere to a mentality or tenet 	2	Is it concrete (vs. abstract)? Is there kinetic movement (vs. potential)? Is it a reactionary (vs. planned)?							cheta					Soemai	soem-mai	sun heart	Saman	canyon-v?			Khoqua	storm/monsoon season (occurs usually through summer)		
chise	tʃisɛ	v	stick; adhere; join	2	Am I(it) the experiencer (vs. the actor)? (I can't help but ___ = Stative)							nhy								Mizar				Leqeua	harvest season (autumn)		
chivh	ʧiβ	v	shake with rage	3								coel								Mirak	v			Saubua	flood season (beginning of spring; especially after little Spring; but can be any flooding)		
chiyojelman	tʃijoʒɛlmɑn	v	to hate/despise your child	3	Yes = Body; No = Mind --- (2Y1N = Body; 1Y2N = Mind)							cont					masir			Alioth				Juphenua	scroll season (counting food stock; end of autumn)		
chiyojman	tʃijoʒmɑn	v	to hate/despise children	3								covsi					Tsiyon	can translate to shifting deer	Hebrew for Zion 	Phecda	v			Sajupheua	(major scroll season; before tsanua)		
chiyojytelman	tʃijoʒətɛlmɑn	v	to hate/despise your own children	3								cul					Jerusalemui 	jeriu - esal - emui 	Jerusalem; foundation live holy	Alkaid							
chiyojytman	tʃijoʒətmɑn	v	to hate/despise a family's children	3	adverb endings (-) in dictionary = adv.cl.suffix 							cuvhi	v				Yhisra'el	yhava - isse - ra' - el	Israel; God strive force self   one who strives wholeheartedly with God	Niwl							
cho	tʃo	v	feel (tactile)	1	Cl1 = tentatively -x; historically ∅ (careful with these not to place after nouns; because often base adv is also adj)												Lihmonna	one who inevitably exists	Jehovah, yhwh								
chokae	tʃoke	v	mold; sculpt (as in pottery; agent focus)	4	Cl2 =  -dj/ -dy																						
cholak	tʃolɑk	v	mold (as in pottery; patient focus)	4	Cl3 = -'ut							cwl					sabatan'iin	second law	Deuteronomy 	Dubhe							
chose	tʃosɛ	v	touch (tactile)	2	Cl4 = -koi							heus					kuranyauiin	cultural city people	Corinthian - also city of culture	Megrez							
chuo	tʃuo	v	walk; move; go	1		use (-n) with -toi verb ending*** (not sure what this ending is anymore, -koi used to be -kii)														Oi'ufe							
chuocet 	tʃuoçɛt	v	be sent (somewhere)	2	modifying an Adj = tentatively -nun; historically add (n (opt)) + adj ending
-- adverbs that don't take adverb ending use just -n							darh								Mat'baea	library-?						
chuoda  	tʃuodɑ	v	walk to a new place in one's life (metaphorically; be somewhere new mentally)	4	modifying an Adv/post or gerund = add (t)eu							dasu								Kiumyo	v						
chuokae 	tʃuoke	v	walk to a new location in one's life (literally)	3	adv-cl mrk = -(t)el (don't need regular clause marker for these) (can add CL endings before if needed for reference clarity)	- might just allow adv endings to participles						dau								Nabia							
chuona	tʃuonɑ	v	crawl	1																							
chuonvae	tʃuonve	v	creep; crawl slowly	1								decu								Kith Kilan	verdant rainforest						
chuose	tʃuosɛ	v	walk/travel to (a location)	2								dhio								Suon Kiin	rust desert						
chuoyo 	tʃuojo	v	walk around one's mind; daydream; imagine something	1								dotii	adj							Ruo Ban	Bazaar Higlands						
ciymnae	çiəmne	v	wave (esp in greeting)	1								dotis								Ikheski	ice - ?						
contsu	çontsu	v	beg; plead	2								drou								Chien Se							
cosak	çosɑk	v	smoke (patient)	4								dyk								Matak	library-? / fire-cry						
cosk	çosk	v	struggle with; thrash; toss about	1								e'ira								Havannhi	god-?						
coskae	çoske	v	smoke (something)	4								ecy								Ohanen							
coskyo	çoskjo	v	struggle with (mentally)	1																							
cupetsu	çupɛtsu	v	play a game (strategy)	2																							
dae	de	v	balance	1								efis								Tageta							
dae'en	deʔɛn	v	float	1								ehas								Yasume	?-noun						
daiyo	daɪjo	v	assure; reassure	2								ekil								R'iyun							
danlona	dɑnlonɑ	v	love platonically 	1																							
del'en	dɛlʔɛn	v	hang (patient) often in a sort of floating manner	1																							
delcet	dɛlçɛt	v	suspend; hang across (patient)	1								el								Ceshi	delicate-bite						
dese	dɛsɛ	v	weigh; measure; hang	2								eloen	adj							Gorsi							
deu	dœ	v	pile something up									emobe								Dirdra	workshop-?						
deukae	dœke	v	forage	4								es								Hauran							
deul'en	dœlʔɛn	v	pile up (patient)									ewae								Dirsha	workshop -						
deulse	dœlsɛ	v	gather; collect (somewhere)	2								fin								Betuwam							
deuse	dœsɛ	v	gather; collect (something)	2								fuji															
devha	dɛβɑ	v	draw; stretch; spin; twist (usually into rope or yarn)	3																							
deyo	dɛjo	v	need; require (more often mood hde instead)	2								fuma								taflu 	bay						
djim	dʒim	v	pity	1								fuwa															
docet	doçɛt	v	hear	2								fys								Kolandir	?-workshop						
dose	dosɛ	v	listen to (actively hearing)	2								gai								Likhudhava	Gate of god						
dotsu	dotsu	v	listen for (specific mental intent)	2								hwys								Havayau	city of god						
ed	ɛd	v	hawk; offer goods for sale; esp by shouting or singing	1								gid								Likano	stonewall						
efe	ɛfɛ	v	come to; approach	1								giph								Tenhido	river source						
efese	ɛfɛsɛ	v	come; come to; arrive (at)	2								gis								Shaikyir	throne-?						
ehres	ɛhɾɛs	v	thrive; be fully alive	1								gnact								Mahyong							
emb'en	ɛmbʔɛn; ɛmbɘʔɛn	v	drift	1								gosh								Sasyanyu	canyon cliffs						
en	ɛn	v	say (used with quotes but can be followed by a subordinate clause); kinda almost interchangeable with et	1								gra															
ena	ɛnɑ	v	work; labor	1								gut															
enalvha	ɛnɑlβɑ	v	work; function (does what it's supposed to)	3																							
enase	ɛnɑsɛ	v	work on; work with (something)	2								gws															
enbyo	ɛnbjo	v	think	1								gwsl															
eno	ɛno	v	do; do so; happen; occur (a previous action mentioned; affirmative action)	1								wpiishk															
enokae	ɛnoke	v	accomplish	4								hax															
enose	ɛnosɛ	v	perform	2								haz															
entese	ɛntɛsɛ	v	verify; confirm	2								hlon															
muentese	muɛntɛsɛ	v	attempt to verify or confirm; research	2																							
enyo	ɛɲo	v	address (as in give a speech)	2								hnu															
esago	ɛsɑɡo	v	resurrect; revive	1								ho'ase	v														
esakae	ɛsɑke	v	give birth (mother)	4								ho'es															
esal	ɛsɑl	v	live in; live with (somewhere; a specific place)	1								hoa															
esalak	ɛsɑlɑk	v	be birthed; be born (infant)	4								hoc															
esalge	ɛsɑlgɛ	v	begin; start	4								htam															
esalgo	ɛsɑlɡo	v	be resurrected or revived 	1								hulud															
esalnae	ɛsɑlnae	v	reincarnate	1								kugy															
esalnon	ɛsɑlnon	v	live; live through; change throughout life	3								idl															
esse	ɛssɛ	v	find	1								if															
esyo	ɛsʲo	v	find; figure out; deduce (can just use hku instead)	1								ifa															
et	ɛt	v	speak; talk about; tell (something; a story; etc. often followed by a clause)	1								ika															
etese	ɛtɛsɛ	v	confess feelings for someone (from tell like)	2								ciilan															
etetso	ɛtɛtso	v	confirm admiration or agreeableness; tell or show regard for; like or vote for									iok															
etheun	ɛθœn	v	contradict (from speak + defect)	1								ipi															
etse	ɛtsɛ	v	utter; speak out	2								ipy															
etsn	ɛtsn	v	inform; tell; converse with; say to; talk to; speak to (someone)	1								ir															
faeb'en	febʔɛn	v	to be gullible of; over-trust; impressionable; naive	1																							
faelge 	felgɛ	v	be caused to reform one's beliefs	4								ivan															
faeyo	fejo	v	to believe; to trust; have faith that; hope that (some crossover with desirative)	1								ivantom															
fankae	fɑnke	v	act; perform	4																							
fanman	fɑnmɑn	v	improvise	3																							
fanvha	fɑnβɑ	v	act; pretend; feign; play	3								syoji															
fanyo	fɑɲo	v	convince (fan- + verb common way to say "confidently/convincingly")	1																							
feraehya	fɛɾehʲɑ	v	sail the perfect wind (at perpendicular to the boat (beam reach) so it fills the sails just right to go speedy)	1								jiphu															
fetyo	fɛtjo	v	annoy; bother	1								jutso	ʒutso	v	2												
fu'en	fuʔɛn	v	glow; give off light (also said as fue'en)	1																							
fuse	fusɛ	v	light (a candle; lantern; fire)	2								kaebu															
fuvha	fuβɑ	v	light up; burst with light	3								kayo		v	1												
gecse	gɛçsɛ	v	bring; take with	2								kayso															
gelccet	gɛlççɛt	v	to be brought; to come 	2																							
gen	gɛn	v	help with; assist with (uses recipient or beneficiary (depending on context) when helping someone)	1																							
gena	ɡɛnɑ	v	arrange	1																							
go	go	v	multiply	1								kewo															
gwiicynaekse	ɡʷɪçəneksɛ	v	faceplant in the snow	2																							
gwiingwiivhenkae	ɡʷɪŋʷɪβɛŋke	v	make a snow angel	4								khet															
gwiinilavise	ɡʷɪnilɑvisɛ	v	lose a snowball fight	2								kiq															
gwiiniliva	ɡʷɪnilivɑ	v	have a snowball fight	1																							
gwiinilivanse	ɡʷɪnilivɑnsɛ	v	win a snowball fight	2								kize															
he'ieyo	hɛʔiɛjo	v	divine; prophesy; have a vision	1								klict															
heka	hɛkɑ	v	ride	1																							
hiiktso	hɪktso	v	rest (not sleep tho)	2								kwara		v	1												
hiikyo	hɪkjo	v	sit	1								kwo															
hiisevh	hɪsɛβ	v	smolder	3								kyohne		adj													
hiva	hivɑ	v	play (esp how children play)	1								kysi															
hivanda	hivɑndɑ	v	win (a war through strategy) against	4								larq															
hivankae	hivɑnke	v	win (a fight/war) against	4								ler															
hivantso	hivɑnʦo	v	win (a game) against	2								let															
hivase	hivɑsɛ	v	play a game (physical play)	2																							
ho	ho	v	expound; make exponential; raise to the power of	1								lex															
hon	hon	v	hold	1								liika															
hon'iese	honʔiɛsɛ	v	hope for; look forward to; yearn for; anticipate (similar to tkause but with more desperation; from hold hope)	2								loek															
honse	honsɛ	v	grip; grasp; clutch; hold tightly; squeeze; hold on	2								lowr															
hontsu	hontsu	v	retain; hold back	2								lulu															
hrenlvha	ɾ̥ɛnl̩βɑ	v	tempt; entice; allure	3								lyii		adj													
hrenvha	ɾ̥ɛnβɑ	v	be tempted by	3								lyulcet	lʲulçɛt	v	2												
hymteum	həmtœm	v	sing/hum a tune; la da de (lit. tongue hum; liquid/approximate consonants)	1																							
hzen	hzɛn	v	pass  (dialectally this verb series root can be hsen- barring this cl1 bare root form (clashes with the hsen mood))	1								lyuse	lʲusɛ	v	2												
hzenak	hzɛnɑk	v	leave behind; abandon involuntarily	4								ma'ito															
hzenkae	hzɛnke	v	leave behind; abandon	4																							
hzenyo	hzɛnjo	v	leave behind	1								mace															
i'emn	iʔɛmn	v	worship	1																							
ibiqse	ibiqsɛ	v	join with; join along; come join	2								mah															
ifanon	ifɑnon	v	experience	3								mahi															
ii'qe'ak	ɪʔqɛʔɑk	v	alert; alarm (unintentionally)	4								mahoa															
ii'qe'kae	ɪʔqɛʔke	v	alert; alarm (inform)	4								maht															
iibvha	ɪbβɑ	v	gasp (in surprise)	3								mahth															
iido	ɪdo	v	seek; look for; search for	1								maite															
iila'en	ɪlɑʔɛn	v	thirst	1								malaer															
ikhritsu	ikʰɾitsu	v	discount; disregard; dismiss	2																							
ikhwii	ikʰwɪ	v	snow; flurry	1								mao da															
ilanyo	ilɑnjo	v	bless	1																							
ilq	iɫq	v	berate; criticize; scold	1								maqte															
ilqman	iɫqmɑn	v	abuse	3								mas															
ilumbe	ilumbɛ	v	eating while bored (lit. lonely mouth; from kuchisabishii)	1								maxe															
ilunda	ilundɑ	v	isolate	4								mban															
ilunmbak	ilunmbɑk	v	to banish or make an outcast	4								merrop															
ilunmge	ilunmgɛ	v	to be isolated; to be alone (alt can use copula +alone; this is more like done to you on purpose; form of punishment/bullying)	4								mid															
ilurynon	iluɾənon	v	feeling alone around people									mida															
in'a	inʔɑ	v	dance	1								midas															
in'ase	inʔɑsɛ	v	dance with choreography 	2								mieo															
iqyvha	iqəβɑ	v	endure; weather safely	3																							
iqyvhi	iqəβi	v	weather; wear; change due to outside forces (mostly weather)	3								mige		v	4												
isse	isːɛ	v	work towards; strive for	2								mihe															
jaak	ʒɑɑk	v	combine with; be one with; be together with	4								mite		n													
jaes	ʒes	v	row	1								moke															
jakae	ʒɑke	v	combine into; merge into; congeal	4																							
javha	ʒɑβɑ	v	mix together; combine together; unite; merge	3								mosh															
jayo	ʒɑjo	v	mingle; interact	1																							
jehkae	ʒɛːke	v	poison	4								mot'uqi		v	1												
jehlak	ʒɛːlɑk	v	be poisoned	4								moze															
jetai	ʒɛtai	v	reach	1								myhno															
jiaeda	ʒiedɑ	v	dig for information; investigate; experiment	4								myyn															
jiaekae	ʒieke	v	dig (esp for construction purposes); hollow out; mine	4								nabi															
jiaevha	ʒieβɑ	v	dig; poke; prick; pick at	3								nac															
jikse	ʒiksɛ	v	cross	2								nac'en		v													
jiujida	ʒiuʒidɑ	v	focus; enlargen; zoom in	4								naco															
jivkae	ʒivke	v	bury	4								naer															
jue	ʒuwɛ	v	roll; tumble; do gymnastics or parquor	1								naig															
jue'en	ʒuwɛʔɛn	v	roll; tumble (accidentally)	1								nan															
juelcet	ʒuwɛlçɛt	v	be rolled up	2																							
juese	ʒuwɛsɛ	v	roll; roll up	2								ndu															
ka'yyn	kɑʔjən	v	shadow; cast a shadow; make shade; cover 	1								nia															
ka'yyn'en	kɑʔjənʔɛn	v	shadow; cast a shadow; make shade; cover (involuntarily)	1								nid															
kaeyo	kejo	v	belong with; belong to (can do with -yl constructions)	2								nidi															
kafu'a	kɑfuʔɑ	v	exhale	1								noht															
kangyo	kɑŋɡʲo	v	focus; concentrate 	1								nohy															
kantzaetat	kɑndzetɑt	v	tempt fate; test limits; court death; raise a flag (lit. kick at the rock cairn)	1								non															
kashvha	kɑʃβɑ	v	whisk or whip a liquid/batter	3								ntom															
kauynukii	kaʊjnukɪ / kaʊənukɪ	v	stick your tongue out; be flippant or ironic (lit tongue in teeth)	1								ntu															
kes'en	kɛsʔɛn	v	sleep; rest	1								nuteg															
keskse	kɛsksɛ	v	copy; transcribe (also liinmtso)	2																							
kesktso 	kɛsktso	v	copy; imitate	2								nya															
ketlcet	kɛtl̩çɛt	v	have worth or be of value	2								nyw															
ketltso	kɛtl̩tso	v	have meaning	2								o															
ketse	kɛtsɛ	v	value; assign worth	2								o ha' dang ba															
keucman	kœçmɑn	v	scrape; scrape off (mentally; figuratively)	3								oawki															
keucvha	kœçβɑ	v	scrape; scrape off (physically)	3								ohl															
khae	kʰe	v	run	1																							
khaekae	kʰeke	v	chase; run down (esp for hunting)	4								okoi															
khael'en	kʰelʔɛn	v	flee; run away; escape; have an escapism mentality	1								olhl															
khaelse	kʰelsɛ	v	escape; escape from; outrun	2								olykae		v	4												
khaese	kʰesɛ	v	run somewhere; run a race	2																							
khaeyo	kʰejo	v	to think fast	1								omy															
kheth'en	kʰɛθʔɛn	v	appear; fade into existance (esp. for ghosts and apparations)	1								ont															
khethcet	kʰɛθçɛt	v	appear suddenly; teleport in	2								ope															
khethse	kʰɛθsɛ	v	show up; appear	2								oqr															
khise	kisɛ	v	to anchor	2								oqri															
khos'en	kʰosʔɛn	v	wake up	1								oroesi															
khosse	kʰossɛ	v	wake someone	2								ot															
khusak	kʰusɑk	v	crystalize	4								owaki															
kiisvha	kɪsβɑ	v	fry	3																							
kimman	kimmɑn	v	understand																								
kimse	kimsɛ	v	know through practice; experienced knowledge; hands on practice	2								pajo															
kimvh	kimβ	v	realize; understand; eureka; light bulb moment (physical reaction; kinda implies knowledge hitting you on the head)	3								pas															
kimyo	kimjo	v	know	1								pate															
kiry	kiɾə	v	encode; encypher (sometimes kirykae)	1								payo		v	1												
kjol'en	kʒolʔɛn	v	be trapped or confined	2								phec	v														
kjose	kʒosɛ	v	trap; confine	2								phecyo	v														
kjovha	kʒoβɑ	v	imprison 	3								phekog															
kombaekae	kombeke	v	divide apart; split apart; divide asunder (implies dividing and moving far apart; esp violently)	4								phuma															
komy	komə	v	to move violently; to shake or push; jostle	1								anoche															
komycet 	koməçɛt	v	to have mob-mentality	2								privya															
komyda 	komədɑ	v	to have passion/zeal for a goal	4								qast															
komykae 	koməke	v	to rouse intense feeling in; excite to passion	4								qeu															
komymyo	koməmʲo	v	answer under duress; esp when rattled	1																							
komyse 	koməsɛ	v	to attack; assault to the degree of almost lynching	2																							
komytsu 	komətsu	v	to interrogate; to push for answers	2																							
komyyo 	komʲəo; koməjo	v	to agitate emotionally	1								qori															
kpevha	kpɛβɑ	v	bake	3																							
kshykae	kʃəke	v	thin; reduce	4																							
kshyse	kʃəsɛ	v	powder; dust	2								qur															
kutse	kutsɛ	v	smile; grin because of something	2								qwr															
kuyohe'en	kujohɛʔɛn	v	vibe (the music hits you just right)	1								rel															
kuyoheyo	kujohɛjo	v	vibe (because you want to)	1								rep															
kve	kvɛ	v	read	1																							
kveu	kvœ	v	note; take notes; track; document	1								rhul															
kveu'en	kvœʔɛn	v	learn accidentally	1								rhun															
kveucet	kvœçɛt	v	wander down an internet rabbit hole	2								ri'en		v													
kveukse	kvœksɛ	v	block; obstruct; bar	2								riim															
kveuktsu	kvœktsu	v	block; hinder (figurative)	2								sac															
kveum	kvœm	v	teach	1								sae															
kveumtsu 	kvœmtsu	v	test; give an exam	2								sahyf															
kveutsu	kvœtsu	v	study; research	2																							
kveuyo	kvœjo	v	learn; choose to learn	1								saka															
kvi	kvi	v	go to	1								same															
kvikae	kvike	v	reverse	4								secu															
kvim	kvim	v	leave from somewhere	1								sekyo		v	1												
kvimse	kvimsɛ	v	return from; come back; make it back	2								seo															
kvise	kvisɛ	v	return to; go back	2								shak															
ky	kə	v	stare at; look at	1								she															
ky'en	kəʔɛn	v	see 	1								shi'anak		v	4												
kycet	kəçet	v	watch (see something that's happening)	2								shom															
kym	kəm	v	turn away; look away from	1								shos															
kymang	kəmɑŋ	v	symbolize (from see cut or make sign)	1								sico															
kymangmse	kəmɑŋm̩sɛ	v	mark; make a sign or symbol or indicator	2								sina															
kymangse	kəmɑŋsɛ	v	mark; indicate (patient focus)	2																							
kyodekae	kʲodɛke	v	to fight or race for resources (usually involves either pushing a group out of an area and causing migrations)	4								sinhu															
kyoman	kjomɑn	v	mentally fight; battle with wits	3								sivae															
kyovha	kjoβɑ	v	battle; war (against)	3								sive															
kyuy	kjuə	v	sing; chirp (birds and insects); whistle (people; and wind)	1								sives															
kyuylse	kjuəlsɛ	v	play an instrument/song (for inanimate objects like music boxes)	1																							
kyuyse	kjuəsɛ	v	play an instrument/song (needs someone)	2								so															
kyyo	kəjo / kjəo	v	stare into; look into	1																							
len	lɛn	v	wade; wander	1																							
lenyo	lɛnjo	v	wander	1																							
leqese	lɛqɛsɛ	v	harvest	1								sohm															
leuk	lœk	v	speak (a language)	1								sokh															
leulda	lœldɑ	v	conquer	4								soksha															
leulkae	lœlke	v	invade; infect	4								soq															
leumsse	lœmsːɛ	v	let out	2								soqru															
leusse	lœssɛ	v	let in	2								sorm															
levhkae	lɛβke	v	paint	4								sowon															
levhse	lɛβsɛ	v	draw	2								sriis															
li	li	v	exist; exist as	1								sris															
libi	libi	v	become (lit. inchoative exist)	1								sro															
lida	lidɑ	v	make better; save (esp by causing a person's behavior or mindset to change for the better); redeem	4								suta															
liincet	lɪnçɛt	v	equate; equal to	2								swc															
