Woord (Word),IPA,Part of Speech,Signifas (Meaning),1594,<-- numer o woordan jom woordkitabu mir
dien,ˈdjɛn,noun,1. lightning,,
,,,2. electricity,,
dienelon,ˈdjɛnˌeːlon,noun,1. e-cigarette,,
,,verb,"1. to smoke, as an e-cigarette",,
dienjila,ˈdjɛn.jiˌlɑ,noun,"1. wire, cable",,
dienkan,diˈɛnˌkɑn,noun,1. computer mouse,,
dienkansikulu,diˌɛnkɑnˈsɪkʊlu,noun,1. mouse wheel,,
dienoku,ˌdi.eˈnoku,verb,"1. to press, click",,
Dientera,ˈdjɛnˌterɑ,noun,1. Jupiter,,
dienvek,diˈɛnˌvɛk,noun,"1. current, as of electricity",,
diff,ˈdɪf,adjective,1. different,,
,,adverb,1. differently,,
,,verb,1. to make different,,
diffsten,ˈdɪfˌstɛn,noun,1. diorite,,
dime,ˈdiˌmɛ,noun,1. dimension,,
Dio,,noun,1. God,,
dista,,adjective,1. long,,
diston,,noun,1. length,,
do,,preposition,1. of,,
Dojc,,noun,1. Germany,,
Dojce,,adjective,1. German,,
Dojcejen,,noun,1. a German person,,
Dojcera,,noun,1. the German language,,
dojcilo,,noun,1. germanium,,
du,,noun,1. two,,
dubnilo,,noun,1. dubnium,,
durgilo,,noun,1. bromine,,
dusikulu,,noun,1. bicycle,,
duten,,noun,1. twenty,,
eca,,noun,1. example,,
,,preposition,1. for example,,
edeben,,noun,1. adventure,,
,,verb,1. to adventure,,
ei,,noun,1. one,,
eisikulu,,noun,1. unicycle,,
eh,,interjection,"1. used to indicate disapproval, doubt, or not understanding something",,
eki,,verb,1. to go (as to somewhere),,
ekier,,noun,1. animal,,
ekiermoku,,noun,1. meat,,
ekri,,noun,1. pen,,
,,verb,1. to write,,
elki,,noun,1. book,,
elon,,noun,1. smoke,,
,,verb,"1. to smoke, as a cigarette",,
elonkukna,,noun,"1. smoker, as a furnace",,
emfasis,,noun,1. emphasis,,
,,adverb,1. for emphasis,,
emii,,noun plural,1. people who speak Hantera,,
en,,conjunction,1. and,,
England,,noun,1. England,,
Engle,,adjective,1. English,,
Englejen,,noun,1. an English person,,
Englira,,noun,1. the English language,,
er,,conjunction,1. or,,
,,interjection,1. uh,,
Espanja,,noun,1. Spain,,
Espanje,,adjective,1. Spanish,,
Espanjen,,noun,1. a Spanish person,,
Espanjara,,noun,1. the Spanish language,,
estra,,noun,1. star (the shape),,
et,,conjunction,1. and,,
ete,,noun,1. eight,,
etedece,,noun,1. eighty,,
ezample,,noun,1. example,,
,,preposition,1. for example,,
fakar,,verb,1. to think,,
fakil,,adjective,1. easy,,
fejlto,,verb,1. to feel,,
felda,,noun,1. thousand,,
fem,,noun,1. woman,,
femama,,adjective,1. lesbian,,
,,noun,1. someone who is lesbian,,
femjen,,noun,1. woman,,
femmaak,,noun,1. childbirth,,
fense,,noun,1. borax,,
fensilo,,noun,1. boron,,
fermtilo,,noun,1. fermium,,
fern,,noun,1. plant,,
fernflitta,,noun,"1. leaf, as of a plant",,
Ferntera,,noun,1. Saturn,,
ferntilo,,noun,1. praseodymium,,
fiksed,,adjective,"1. fixed, in place",,
fini,,verb,1. to end,,
,,noun,1. an end,,
finir,,adjective,"1. last, final",,
fizd,,adjective,1. cold,,
fler,,noun,1. flower,,
flej,,noun,1. flight,,
,,,2. air,,
,,verb,1. to fly,,
flejkolilo,,noun,1. noble gas,,
flejn,,noun,1. oxygen,,
flejsiko,,noun,1. atmosphere,,
flejsuspa,,noun,1. the lower three sections of the atmosphere,,
flejsuspi,,noun,1. the higher two sections of the atmosphere,,
flejtora,,noun,1. airplane,,
flejko,,noun,1. gas,,
flejvjera,,noun,1. bird,,
flitta,,noun,1. leaf,,
florovilo,,noun,1. flerovium,,
fo,,adjective,1. false,,
fojau,,verb,1. to speak a falsehood,,
fol,,adjective,1. full,,
fon,,noun,"1. falsehood, lie",,
for,,noun,1. four,,
forsikulu,,noun,1. car,,
forten,,noun,1. forty,,
Frans,,noun,1. France,,
Franse,,adjective,1. French,,
Fransera,,noun,1. the French language,,
fransilo,,noun,1. francium,,
Fransjen,,noun,1. a French person,,
frau,,noun,1. woman,,
frejalo,,noun,1. vanadium,,
frid,,adjective,1. cold,,
gadoltilo,,noun,1. gadolinium,,
gan,,verb,1. to do,,
gapa,,noun,1. hole,,
gasi,,interjection,1. thank you,,
ge,,noun,1. five,,
geb,,verb,1. to give,,
gedece,,noun,1. fifty,,
gelowa,,noun,1. the Sun,,
,,,2. star (celestial body),,
gener,,noun,"1. gender, sex",,
geword,,verb,"1. to occur, happen",,
geworden,,noun,"1. occurrence, happening",,
gono,,noun,1. angle,,
,,,2. shape,,
gonodibujen,,noun,1. a graphic designer,,
gram,,noun,1. gram,,
grama,,noun,1. letter,,
gramasui,,noun,1. alphabet soup,,
gramino,,noun,1. grass,,
,,,"2. field, as of grass or pasture",,
graminosten,,noun,1. granite,,
gravi,,noun,"1. weight, mass",,
,,adjective,1. heavy,,
,,,2. strong,,
gravilo,,noun,1. barium,,
grep,,verb,"1. to learn, understand, grasp",,
greped,,noun,1. student,,
greper,,noun,1. teacher,,
,,verb,1. to teach,,
grev,,noun,1. rifle,,
Grevtera,,noun,1. Mars,,
grokba,,noun,1. backpack,,
grokpi,,noun,"1. school, learning facility",,
groot,,adjective,"1. big, large, great",,
ha,,interjection,1. oh,,
hab,,verb,"1. to have, exist",,
han,,verb,1. to write,,
hana,,noun,1. tree,,
hanabilo,,noun,1. chlorine,,
hanablu,,noun,1. green,,
hanablupomo,,noun,1. pear,,
hanaka,,verb,1. to ask,,
hanakrii,,noun,1. phone,,
hanaroto,,noun,1. wood,,
hanas,,noun,1. green,,
hanase,,verb,"1. to say, speak",,
hanjienilo,,noun,1. thallium,,
hanscurip,,noun,1. writing script,,
hanter,,noun,1. forest,,
,,,2. a large tree,,
hantera,,noun,1. language,,
,,,2. Hantera (the language),,
hanzcy,,verb,1. to translate,,
hanzcyon,,noun,1. translation,,
haus,,noun,"1. house, home",,
hecir,,noun,1. fireworks,,
heradet,,noun,1. Thursday,,
heredet,,noun,1. Wednesday,,
hesilo,,noun,1. hassium,,
hi,,noun,1. fire,,
hier,,adjective,"1. high, tall",,
hieron,,noun,1. height,,
hikars,,noun,1. flint,,
hikarsilo,,noun,1. silicon,,
hilon,,noun,1. ash,,
hilonaard,,noun,1. podzol,,
himetilo,,noun,1. alkali metal,,
hisiko,,noun,1. fireball,,
histen,,noun,1. magma block,,
histenilo,,noun,1. sulfur,,
holof,,noun,1. grammatical declension,,
huni,,noun,1. an African-American person,,
,,adjective,1. African-American,,
husher,,verb,1. to whoosh or make a whoosh sound,,
,,,2. to pass by quickly,,
,,,3. to glance,,
hushon,,noun,1. whoosh sound,,
,,,2. quick passby,,
,,,3. glance,,
husilo,,noun,1. fluorine,,
-ic,,affix,1. used to create adjectives from other parts of speech,,
icen,,preposition,1. behind,,
,,verb,1. to become,,
iHanakrii,,noun,1. iPhone,,
,,,2. mobile phone,,
iku,,verb,1. to walk,,
,,,2. to go,,
,,,3. to leave,,
ikuic,,adjective,1. expressing the ablative case,,
il,,noun,1. thing,,
-(i)la,,affix,1. used to create noun duals,,
ilko,,ilko,1. solid,,
-ilo,,affix,1. used to denote a chemical element,,
ilsui,,noun,1. ice,,
IN,,adverb,"1. in the late night, from 10 IN (6 PM) to 5 IN (11 PM)",,
Inde,,adjective,1. Indian,,
Indejen,,noun,1. an Indian person,,
Indera,,noun,1. the Hindi language,,
,,,2. any Indian language,,
indilo,,noun,1. indium,,
Indo,,noun,1. India,,
Indonesia,,noun,1. Indonesia,,
Indonesiara,,noun,1. the Indonesian language,,
Indonesie,,adjective,1. Indonesian,,
Indonesijen,,noun,1. an Indonesian person,,
inuk,,noun,1. puppy,,
inves,,verb,1. search,,
irisilo,,noun,1. iridium,,
irptilo,,noun,1. erbium,,
isern,,noun,1. iron,,
iterbilo,,noun,1. yttrium,,
itrelo,,noun,1. ytterbium,,
izle,,verb,1. to see,,
,,,2. to watch (as television),,
izlejen,,noun,1. spectator,,
izo,,preposition,"1. in front of, ahead",,
,,verb,"1. to come from, originate",,
izoplacwyrd,,noun,1. preposition,,
jaan,,noun,1. salt,,
jame,,noun,1. one thousand two hundred ninety-six,,
jan,,noun,1. six,,
janad,,noun,1. orange,,
janas,,noun,1. yellowish green,,
janaspomo,,noun,1. pear,,
jand,,noun,1. flag,,
jano,,noun,1. orangish yellow,,
jaris,,noun,1. man,,
,,,2. person,,
je,,adjective,1. first,,
,,interjection,"1. used to express happiness or surprise, as a counterpart to English ""yay""",,
jelgramino,,noun,1. hay,,
jelgramsiklop,,noun,1. hay bale,,
jelo,,noun,1. yellow,,
jelopomo,,noun,1. banana,,
jee,,particle,1. yeah,,
jen,,noun,1. person,,
,,,2. man,,
jener,,noun,1. man,,
jenmaak,,adjective,1. synthetic,,
jennam,,noun,1. pronoun,,
jenroto,,noun,1. body (as of a human),,
jensa,,noun,1. woman,,
jensui,,noun,1. blood,,
jenxera,,noun,1. shit,,
jerec,,verb,1. to explain,,
jerecon,,noun,1. explanation,,
,,,2. diagram,,
ji,,noun,1. one,,
jia,,noun,1. forty-six thousand six hundred fifty-six,,
jian,,noun,1. thirty-six,,
jiana,,noun,1. one million six hundred seventy-nine thousand six hundred sixteen,,
jiano,,noun,1. seven thousand seven hundred seventy-six,,
jien,,noun,1. stick,,
jier,,adjective,1. first,,
,,,2. original,,
,,,"3. normal, natural",,
,,,4. expressing the nominative or ergative cases,,
jierilo,,noun,1. element,,
,,,2. chemical element,,
jidet,,noun,1. Monday,,
jila,,noun,1. line,,
,,,2. thread,,
jina,,adjective,1. only,,
,,adverb,2. once,,
jio,,noun,1. two hundred sixteen,,
,,interjection,1. laughing out loud,,
jion,,noun,1. six,,
jiona,,noun,1. two hundred seventy-nine thousand nine hundred thirty-six,,
jiono,,noun,1. one thousand two hundred ninety-six,,
jizo,,noun,1. hexagon,,
jo,,verb,1. to have,,
jocier,,noun,1. squid,,
jodi,,adjective,1. good,,
,,verb,1. to be happy (used primarily in -'jodili),,
jok,,noun,1. thirty-six,,
jokestrazon,,noun,1. hexagram,,
jom,,preposition,"1. in, inside",,
,,verb,"1. to be in, be inside",,
juc,,noun,1. game,,
,,,2. video game,,
judi,,noun,1. Judaism,,
judijen,,noun,1. a Jew,,
juroganilo,,noun,1. oganesson,,
juse,,verb,1. to use,,
ka,,pronoun,1. used in place of a singular subject in a sentence to create a non-open question,,
,,,2. used to mark a relative clause in which the subject is singular,,
kadmilo,,noun,1. cadmium,,
kaj,,conjunction,1. and,,
kako,,preposition,1. behind,,
kaliftilo,,noun,1. californium,,
kalilo,,noun,1. potassium,,
kama,,verb,1. to come,,
kamarado,,noun,1. friend,,
kamaradon,,noun,1. friends,,
kan,,noun,1. five,,
,,,2. hand,,
,,verb,1. used as the auxiliary verb can would in English,,
kanadilo,,noun,1. scandium,,
kanal,,noun,1. channel,,
kandel,,noun,1. candela,,
kanten,,noun,1. fifty,,
kanwa,,adverb,1. maybe,,
kap,,noun,1. hair,,
,,adjective,1. tall,,
kapon,,noun,1. height,,
kara,,noun,1. age,,
kasento,,noun,1. question,,
kaskja,,verb,1. to not know,,
,,adjective,1. dizzy,,
kasnilo,,noun,1. niobium,,
ke,,pronoun,1. who,,
,,preposition,1. from,,
,,pronoun,1. used in place of a plural subject in a sentence to create a non-open question,,
,,,2. used to mark a relative clause in which the subject is plural,,
keftilo,,noun,1. cobalt,,
kejn,,pronoun,1. none,,
keko,,adjective,1. fourth,,
kekoji,,adjective,1. fifth,,
kelvin,,noun,1. kelvin,,
ken,,particle,1. yes,,
,,prepositional phrase,1. I don't know,,
,,verb,1. to not understand or grasp,,
keso,,noun,1. face,,
ki,,noun,1. five,,
-ki,,affix,1. used to turn whole numbers into their reciprocals in seximal,,
kiestrapyra,,noun,1. pentagrammic star pyramid,,
kiestrazon,,noun,1. pentagram,,
kikoji,,noun,1. five,,
,,,2. pentagon,,
kimtilo,,noun,1. europium,,
kipyra,,noun,1. pentagonal pyramid,,
kitabu,,noun,1. book,,
kiz,,noun,1. electricity,,
kizekri,,verb,1. to save,,
klama,,verb,1. to go,,
klan,,noun,1. group,,
klaro,,noun,1. white,,
klasi,,verb,1. to reach,,
kloza,,verb,1. to close or shut,,
,,,2. to lock,,
-ko,,affix,1. used to designate states of matter,,
koj,,adjective,1. slow,,
kojon,,noun,1. slowness,,
kol,,noun,1. coal,,
kola,,noun,"1. carbonated beverage, cola",,
kolen,,noun,1. carbon,,
kolo,,noun,1. color,,
kolorilo,,noun,1. chromium,,
kollo,,noun,"1. array, list",,
kompli,,adjective,"1. hard, complex",,
kon,,particle,"1. used in the middle of two statements to create a conditional statement (if X, then Y = X kon Y)",,
konchi,,interjection,1. hello,,
kop,,noun,"1. head, face",,
kopenilo,,noun,1. hafnium,,
kopernikilo,,noun,1. copernicium,,
kopje,,noun,1. copy,,
kor,,noun,1. heart,,
kore,,determiner,1. this,,
korok,,noun,1. one million six hundred seventy-nine thousand six hundred sixteen,,
kraaft,,verb,1. to craft,,
krenos,,noun,"1. brain, mind",,
krii,,adjective,1. far,,
kriisiko,,noun,1. exosphere,,
kriisikulu,,noun,1. television,,
,,verb,1. to watch television,,
kript,,verb,1. to hide,,
kriptilo,,noun,1. krypton,,
kripto,,adjective,1. hidden,,
krodet,,noun,1. Friday,,
krogmaakwa,,noun,1. a string instrument tuned EECC and containing a cut earbud wire,,
kroko,,adjective,1. stupid,,
krokosila,,noun,1. a foreign language,,
,,,2. English,,
,,,3. an English speaker,,
krona,,noun,1. crown,,
kroner,,noun,1. money,,
kronfem,,noun,1. queen,,
kronjen,,noun,1. ruler,,
kronman,,noun,1. king,,
Krontera,,noun,1. Mercury,,
ku,,noun,1. four,,
kukna,,noun,1. furnace,,
kuknas,,verb,1. to smelt,,
,,,2. to bake,,
,,,3. to cook,,
kuko,,noun,1. square,,
,,,2. four,,
kukoer,,adjective,1. fourth,,
kukokri,,noun,1. paragraph,,
kuozon,,noun,1. cube,,
kupro,,noun,1. copper,,
kupyra,,noun,1. square pyramid,,
kura,,noun,1. turtle,,
kuritilo,,noun,1. curium,,
kwikin,,noun,1. to spit,,
la,,noun,1. egg,,
lacan,,noun,1. forty-six thousand six hundred fifty-six,,
laclac,,noun,1. two billion one hundred seventy six million seven hundred eighty two thousand three hundred thirty six,,
lakjan,,noun,1. forty-six thousand six hundred fifty-six,,
land,,noun,1. land,,
,,,2. country,,
lantan,,noun,1. lanthanum,,
lantanilo,,noun,1. lanthanide,,
lar,,noun,1. night,,
larsel,,noun,1. the night sky,,
larvjera,,noun,1. bat (animal),,
laski,,verb,1. to like,,
lata,,verb,1. to load,,
leb,,noun,1. life,,
,,,2. living thing,,
,,verb,1. to live,,
lebat,,noun,1. blood,,
leber,,noun plural,1. living things,,
lebroto,,noun,1. body (as of a living thing other than a human),,
ledet,,noun,1. yesterday,,
,,adverb,1. yesterday,,
lego,,verb,"1. to pick, choose",,
legon,,noun,"1. choice, option",,
lej,,noun,1. the past,,
,,particle,1. used to mark the past tense when used before a verb,,
lejfa,,verb,1. to jump,,
lep,,preposition,"1. above, in front of",,
leu,,particle,1. used to mark passive voice,,
li,,verb,1. to be (inanimate),,
libi,,adjective,1. less than,,
libof,,noun,1. male calf,,
lien,,noun,"1. child, kid",,
lienic,,adjective,"1. childlike, frolicking",,
lilargo,,noun,1. platinum,,
lildu,,noun,1. one half,,
lilestra,,noun,1. fire,,
,,verb,1. to be on fire,,
lili,,adjective,"1. small, little",,
lilistan,,noun,"1. first-level administrative division (as a state, province, or oblast)",,
liltri,,noun,1. one third,,
liregis,,noun,1. person in second (behind king or queen),,
liregisfem,,noun,1. princess,,
liregisman,,noun,1. prince,,
livac,,noun,"1. heifer, female calf",,
livermorilo,,noun,1. livermorium,,
lof,,verb,1. to sprint,,
lok,,noun,1. everything,,
,,determiner,1. every,,
lokan,,noun,"1. morning, AM",,
lorenstilo,,noun,1. lawrencium,,
lua,,noun,1. the Moon,,
,,,2. moon (celestial body),,
,,,3. circle,,
lufle,,noun,1. swan,,
lukara,,noun,1. month,,
luilo,,noun,1. selenium,,
lunca,,noun,1. night,,
lutet,,noun,1. lutetium,,
maak,,verb,"1. to make, produce",,
,,noun,1. tool,,
maakantera,,noun,1. constructed language,,
maakic,,adjective,1. creative,,
maakjenilo,,noun,1. technetium,,
mai,,adverb,1. because,,
,,preposition,1. because of,,
mainichi,,adjective,"1. regular, daily",,
,,adverb,"1. regularly, daily",,
,,verb,"1. to make, produce",,
makens,,verb,1. to decide,,
mal,,adjective,1. bad,,
,,verb,1. to multiply by,,
malcas,,noun,1. decay,,
maljaanilo,,noun,1. aluminum,,
mama,,noun,1. mother,,
man,,noun,1. man,,
manama,,adjective,1. gay,,
,,noun,1. someone who is gay,,
mande,,verb,"1. should, ought to",,
manga,,noun,1. food,,
manjen,,noun,1. man,,
mar,,noun,1. ocean,,
marblu,,noun,1. ocean blue,,
marsajlilo,,noun,1. halogen,,
marsiko,,noun,1. the Biblical firmament,,
marsikulu,,noun,"1. boat, ship",,
Martera,,noun,1. Neptune,,
martilo,,noun,1. neptunium,,
masuli,,noun,1. desert,,
mat,,verb,1. to have,,
me,,noun,1. two hundred sixteen,,
med,,preposition,1. used to mark the dative or instrumental case,,
,,verb,1. to cause to be,,
mega,,noun,1. one million,,
megadu,,noun,1. one trillion,,
megapa,,noun,1. mouth,,
megatri,,noun,1. one quintillion,,
megsiko,,noun,1. thermosphere,,
melac,,noun,1. ten million seventy-seven thousand six hundred ninety-six,,
men,,conjunction,1. but,,
