Entry Word:,Pronunciation,POS,Meaning,Verb Class,,Volition status,,,,first number is used in counting up from 1 (hai is also used in time); second number is the generally used modifier (number + noun) ,,,,tanmqe/ camgyu ,,,,,,,,teptyu (coinage system),,,,,
aurivha,aʊɾiβɑ,v,delight; make happy/joyful,3,res = resultative; irrs = irresultative,,,,10,hai / mun ,,,,,,,7478,teukmchacam teukmki,,,,,,March,ashvel,red,
banttso,bɑntsːo,v,accuse; denounce; charge,2,con/A = concrete; abs/B = abstract,,,,,,,,,,100,hai'mun  / cam ,8;000,kvimcam,,,,,,April,tikvel,mushroom,
bease,,v,wrap; tuck; comfort,2,,,,,-'iin,ordinal #'s,,,,,,,,,,,,,,May,jonvel,movement,
bej,bɛʒ,v,let; allow,1,CL1A = IRRS.ATEL.CON; CL1B = IRRS.ATEL.ABS,,,,,,,,,,,,,,,,,,,June,ikhvel,ice,
biin,,v,explain,1,,,,,,,,Possible words,,,,,Names,,,City/place names in this language,,,,July,gwiivel,snow,
biincet,bɪnçɛt,v,show; display; exhibit; be easily read (for emotions/expressions; not necessarily on purpose),2,CL1 often has intransitive verbs,,,,,,,,,,,,Sadikh,sadi-kh,?-pres.part; ?-ice,wrikan,town; village,,,August,gliinvel,snow melt,
biinlcet,bɪnlçɛt,v,(to be put) on display,2,uncausitive = agent/patient inversion,,,,,,,aera,,,,,Maito,mai-to,heart of now,yaud,city,,,September,lenvel,rain,
biinse,bɪnsɛ,v,show; share (something),2,undative = agent/recipient inversion,,,,,,,aho,,,,,Macito,maci-to,?- of now,teya,place suffixes often as -tya,,,October,bethvel,flower,
biintsu,bɪntsu,v,display; exhibit (something; actor not necessarily present),2,,,,,,,,ajo,,,,,Ro'a,ro-'a,pebble-little,paq,country; nation; homeland,,,November,kilvel,greenery,
caeskae,,v,pierce; stab,4,,,,,,,,alaiyth,,,,,Ser'a,ser-'a,elephant-little,kha,ground; earth; land,,,December,twnvel,sky,
caitayo,,v,give your life to something; form a career or hobby or life's work,1,For undative verbs,base + m + class ending ,,,,,,ano,,,,,Eranna,era-nna,,ten,river,,,,,,
caitsekae,,v,give up your life,4,For unaccusative verbs,base + l + class ending ,,,,,,aqpa,,,,,,,,mba,river mouth,,,Kheskviliis (weekdays),,,
chenkae,ʧɛnke,v,wring; twist,4,"add+verb (2nd verb for mp)
CL determines volition but not case on these  
implies same TAM as 1st verb",base + g + class ending ,,,,,,aqyo,,v,1,,Ed(nna),,hawker,aiya,river head,,,Sunday,Yhavliis,creator,
chese,tʃɛsɛ,v,eat,2,,,,,,,,ase,,,,,Alkha,lona-l-kh-nna,person who is loved,Thotekha,land of deep rivers,,,Monday,Sauliis,big moon,
chibnon,tʃibnon,v,feel an overwhelming hatred (stative); implies hate coming over you,3,V. tests,,,,,,,aske,,,,,Haval/ Avlik(o),Yhava-Likae-nna-to,God who saves now,Vhumba,koimouth,,,Tuesday,Vhe'aliis,small moon,
chifetyo,tʃifɛtjo,v,trigger; set off (emotionally; usually to irrationality and anger; not trauma),&,Change/Unchanged (fixed),,,,,,,ato,,,,,Qliml / Imil(ma),q-liman-l-nna / lim-l-ma-nna,person who was annointed,Saestya,place of endless sand,,,Wednesday,Saejliis,sand,
chiman,tʃimɑn,v,hate; despise; resent,3,Does (my)it's shape/composition/state differ from when (I)it started?,,,,,,,atoy,,,,,Lonna,Lona-nna,love/ person who loves,Soethsa,canyon of the deep sun ,,,Thursday,tyauliis,metal,
chivh,ʧiβ,v,shake with rage,3,Yes = Changed; No = Unchanged,,,,,,,auham,,,,,Yhava'iir (Hav'iir),,"God is with/
with God (Emmanuel)",Vhili,moon-wall,,,Friday,aeliis,water,
chiyojelman,,v,to hate/despise your child,3,Telic/Atelic (fixed/slight movement),,,,,,,awa,,,,,Suonka /Suonna,,wastelander,Serach,elephant-ford,,,Saturday,khaliis,earth,
chiyojman,,v,to hate/despise children,3,If I start ____ and am inturrupted part way through; will I(it) have still been ____?,,,,,,,awri,,,,,Suonkeun,,wasteland person,Xiat,,,,Eightday,kviliis,return/eight,
chiyojytelman,,v,to hate/despise your own children,3,Does my action have a purpose or goal?,,,,,,,ay,,,,,Luthytnna,,person who will take root,Sengai,,,,,,,
chiyojytman,,v,to hate/despise a family's children,3,Yes = Atelic; No = Telic,,,,,,,ben,,,,,Shaekith,,from rainforest,Hejivan,,,,Hatsa (Seasons),,,
cho,tʃo,v,touch; feel (tactile),1,Body/Mind (free),,,,,,,benau,,,,,Shaeve'a,,from grove,Yhose,v,,,Yanua,Cool season (autumn),,
chokae,tʃoke,v,mold (as in pottery; agent focus),4,Is it concrete (vs. abstract)? Is there kinetic movement (vs. potential)? Is it a reactionary (vs. planned)?,,,,,,,bihn,,,,,Kirykha,kiry-kh-nna,one who encodes,Poraiya,? + river head,,,(ii'yanua),Little Autumn (every 10 yrs),,
cholak,tʃolɑk,v,mold (as in pottery; patient focus),4,Yes = Body; No = Mind (2Y1N = Body; 1Y2N = Mind),,,,,,,boda,,,,,,,,Yeo'eno Taelu,Bay of the rain song (talented + rain + performance),,,Noaua,Long summer,,
chuo,tʃuo,v,walk; move; go,1,Active/Stative (free),,,,,,,bont,,,,,Yhalik Imil,Anointed God who saves now,Jesus Christ,Chesa,?-canyon,,,(ii'noaua),Small summer (every 10 yrs),,
chuocet ,tʃuoçɛt,v,be sent (somewhere),2,Am I(it) the experiencer (vs. the actor)? (I can't help but ___ = Stative),,,,,,,cavo,,,,,,,,Qin,,,,Bemyua,Warm season (Spring),,
chuoda  ,tʃuodɑ,v,walk to a new place in one's life (metaphorically; be somewhere new mentally),4,Is it voluntary or involuntary?,,,,,,,cem,,,,,,,,Zveti,,,,(ii'bemyua),Little Spring (every 10 yrs),,
chuokae ,tʃuoke,v,walk to a new location in one's life (literally),3,Yes = Stative; No = Active,,,,,,,,,,,,Beth,,blossom,Akada,v,,,Tsulua,Small winter,,
chuona,tʃuonɑ,v,crawl,1,,,,,,,,,,,,,Rushk,,wire,Vera,,,,Tsanua,Long winter (every 10 years,,
chuose,tʃuosɛ,v,walk/travel to (a location),2,adverb endings (-) in dictionary = adv.cl.suffix ,,,,,,,ceyn,,,,,Esali / Esalii,Esal-ii-go-nna,Reviver,Mideh,,,,,,,
chuoyo ,tʃuojo,v,walk around one's mind; daydream; imagine something,1,Cl1 = ∅ (careful with these not to place after nouns; because often base adv is also adj),,,,,,,cheta,,,,,Soemai,,sun heart,Saman,,,,Khoqua,storm/monsoon season (occurs usually through summer),,
contsu,çontsu,v,beg; plead,2,Cl2 =  -dj/ -dy,,,,,,,nhy,,,,,,,,Mizar,,,,Leqeua,harvest season (autumn),,
cosak,çosɑk,v,smoke (patient),4,Cl3 = -'ut,,,,,,,coel,,,,,,,,Mirak,v,,,Saubua,flood season (beginning of spring; especially after little Spring; but can be any flooding),,
cosk,çosk,v,struggle with; thrash; toss about,1,Cl4 = -kii,,,,,,,cont,,,,,masir,,,Alioth,,,,Juphenua,scroll season (counting food stock; end of autumn),,
coskae,çoske,v,smoke (something),,"Adj = add (n (opt)) + adj ending",,,,,,,covsi,,,,,,,,Phecda,v,,,Sajupheua,(major scroll season; before tsanua),,
coskyo,çoskjo,v,struggle with (mentally),1,Adv/post = add (t)eu,,,,,,,cul,,,,,,,,Alkaid,,,,,,,
dae,,v,balance,,"adv-cl mrk = -(t)el (don't need regular clause marker for these)
(can add CL endings before if needed for reference clarity)",,,,,,,cuvhi,v,,,,,,,Niwl,,,,,,,
dae'en,deʔɛn,v,float,1,,,,,,,,,,,,,,,,,,,,,,,
daiyo,,v,assure; reassure,,,,,,,,,,,,,,,,,,,,,,,,
delcet,dɛlçɛt,v,suspend; hang across (patient),1,,,,,,,,cwl,,,,,,,,Dubhe,,,,,,,
dese,,v,weigh; measure; hang,,,,,,,,,heus,,,,,,,,Megrez,,,,,,,
deulkae,dœlke,v,forage,4,,,,,,,,,,,,,,,,Oi'ufe,,,,,,,
deulse,dœlsɛ,v,gather; collect (somewhere),2,,,,,,,,darh,,,,,,,,Mat'baea,library-?,,,,,,
deuse,dœsɛ,v,gather; collect (something),2,,,,,,,,dasu,,,,,,,,Kiumyo,v,,,,,,
devha,,v,draw; stretch; spin; twist (usually into rope or yarn),,,,,,,,,dau,,,,,,,,Nabia,,,,,,,
docet,doçɛt,v,hear,2,,,,,,,,,,,,,,,,,,,,,,,
dose,dosɛ,v,listen to (actively hearing),2,,,,,,,,decu,,,,,,,,Kith Kilan,verdant rainforest,,,,,,
dotsu,dotsu,v,listen for (specific mental intent),2,,,,,,,,dhio,,,,,,,,Suon Kiin,rust desert,,,,,,
efe,,v,come to; approach,,,,,,,,,dotii,adj,,,,,,,Ruo Ban,Bazaar Higlands,,,,,,
efese,ɛfɛsɛ,v,come; come to; arrive,2,,,,,,,,dotis,,,,,,,,Ikheski,ice - ?,,,,,,
emb'en,ɛmbʔɛn; ɛmbɘʔɛn,v,drift,1,,,,,,,,drou,,,,,,,,Chien Se,,,,,,,
en,ɛn,v,say (used with quotes but can be followed by a subordinate clause); kinda almost interchangeable with et,1,,,,,,,,dyk,,,,,,,,Matak,library-? / fire-cry,,,,,,
ena,ɛnɑ,v,work; labor,1,,,,,,,,e'ira,,,,,,,,Havannhi,god-?,,,,,,
enalvha,ɛnɑlβɑ,v,work; function (does what it's supposed to),3,,,,,,,,ecy,,,,,,,,Ohanen,,,,,,,
enase,ɛnɑsɛ,v,work on; work with (something),2,,,,,,,,efis,,,,,,,,Tageta,,,,,,,
enbyo,ɛnbjo,v,think,1,,,,,,,,ehas,,,,,,,,Yasume,?-noun,,,,,,
eno,ɛno,v,do; do so; happen; occur (a previous action mentioned; affirmative action),1,,,,,,,,ekil,,,,,,,,R'iyo,v,,,,,,
enokae,ɛnoke,v,accomplish,4,,,,,,,,el,,,,,,,,Ceshi,delicate-bite,,,,,,
enose,ɛnosɛ,v,perform,2,,,,,,,,eloen,adj,,,,,,,Gorsi,,,,,,,
esakae,ɛsɑke,v,give birth (mother),4,,,,,,,,emobe,,,,,,,,Dirdra,workshop-?,,,,,,
esal,ɛsɑl,v,live in; live with (somewhere; a specific place),1,,,,,,,,es,,,,,,,,Hauran,,,,,,,
esalak,ɛsɑlɑk,v,be birthed (infant),4,,,,,,,,ewae,,,,,,,,Dircha,workshop -,,,,,,
esalge,ɛsɑlgɛ,v,begin; start,4,,,,,,,,fin,,,,,,,,Betuwam,,,,,,,
esalnon,ɛsɑlnon,v,live; change throughout life,3,,,,,,,,fuji,,,,,,,,,,,,,,,
essa,ɛssɑ,v,find,1,,,,,,,,,,,,,,,,,,,,,,,
essyo,,v,find; figure out; deduce (can just use hku instead),1,,,,,,,,fuma,,,,,,,,taflu ,bay,,,,,,
et,,v,speak; talk about; tell (something; a story; etc. often followed by a clause),,,,,,,,,fuwa,,,,,,,,,,,,,,,
etsn,ɛtsn,v,inform; tell; state; converse; say to; talk to (someone),1,,,,,,,,fys,,,,,,,,Kolandir,?-workshop,,,,,,
ed,ɛd,v,hawk; offer goods for sale; esp by shouting or singing,1&,,,,,,,,gai,,,,,,,,Likhudhava,Gate of god,,,,,,
faeb'en,febʔɛn,v,to be gullible of; over-trust; impressionable; naive,1,,,,,,,,hwys,,,,,,,,Havayaud,city of god,,,,,,
faelge ,felgɛ,v,be caused to reform one's beliefs,4,,,,,,,,gid,,,,,,,,Likano,stonewall,,,,,,
faeyo,fejo,v,to believe; to trust,1,,,,,,,,giph,,,,,,,,Tenhido,river source,,,,,,
fankae,,v,act; perform ,,,,,,,,,gis,,,,,,,,Shaikyir,throne-?,,,,,,
fanman,,v,improvise,,,,,,,,,gnact,,,,,,,,Mayhong,,,,,,,
fanvha,,v,act; pretend; feign,,,,,,,,,gosh,,,,,,,,,,,,,,,
fanyo,,v,"convince (fan- + verb common way to say ""confidently/convincingly"")",,,,,,,,,gra,,,,,,,,,,,,,,,
feraehya,,v,sail the perfect wind (at perpendicular to the boat (beam reach) so it fills the sails just right to go speedy),1,,,,,,,,gut,,,,,,,,,,,,,,,
fetyo,fɛtjo,v,annoy; bother,&,,,,,,,,,,,,,,,,,,,,,,,
fu'en,fuʔɛn,v,glow; give off light (also said as fue'en),1,,,,,,,,gws,,,,,,,,,,,,,,,
fuse,fusɛ,v,light (a candle; lantern; fire),2,,,,,,,,gwsl,,,,,,,,,,,,,,,
fuvha,fuβɑ,v,light up; burst with light,3,,,,,,,,wpiishk,,,,,,,,,,,,,,,
gecse,gɛçsɛ,v,bring; take with,2,,,,,,,,hax,,,,,,,,,,,,,,,
gelccet,gɛlççɛt,v,to be brought; to come ,2,,,,,,,,haz,,,,,,,,,,,,,,,
gen,gɛn,v,help; assist,&,,,,,,,,hlon,,,,,,,,,,,,,,,
gena,,v,arrange,1,,,,,,,,hnu,,,,,,,,,,,,,,,
go,go,v,multiply,,,,,,,,,ho'ase,v,,,,,,,,,,,,,,
gwiicynaekse,ɡʷɪçəneksɛ,v,faceplant in the snow,2,,,,,,,,ho'es,,,,,,,,,,,,,,,
gwiingwiivhenkae,ɡʷɪŋʷɪβɛŋke,v,make a snow angel,4,,,,,,,,hoa,,,,,,,,,,,,,,,
gwiinilavise,ɡʷɪnilɑvisɛ,v,lose a snowball fight,2,,,,,,,,hoc,,,,,,,,,,,,,,,
gwiiniliva,ɡʷɪnilivɑ,v,have a snowball fight,1,,,,,,,,htam,,,,,,,,,,,,,,,
gwiinilivanse,ɡʷɪnilivɑnsɛ,v,win a snowball fight,2,,,,,,,,hulud,,,,,,,,,,,,,,,
he'ieyo,hɛʔiɛjo,v,divine; prophesy,1,,,,,,,,kugy,,,,,,,,,,,,,,,
heka,,v,ride,1,,,,,,,,idl,,,,,,,,,,,,,,,
hiikyo,hɪkjo,v,sit,2,,,,,,,,if,,,,,,,,,,,,,,,
hiisevh,hɪsɛβ,v,smolder,,,,,,,,,ifa,,,,,,,,,,,,,,,
hiva,,v,play (esp how children play),1,,,,,,,,ika,,,,,,,,,,,,,,,
hivanda,hivɑndɑ,v,win (a war through strategy) against,4,,,,,,,,ciilan,,,,,,,,,,,,,,,
hivankae,hivɑnke,v,win (a fight/war) against,4,,,,,,,,iok,,,,,,,,,,,,,,,
hivantso,hivɑnʦo,v,win (a game) against,2,,,,,,,,ipi,,,,,,,,,,,,,,,
ho,ho,v,expound; make exponential; raise to the power of,,,,,,,,,ipy,,,,,,,,,,,,,,,
hon,hon,v,hold,1,,,,,,,,ir,,,,,,,,,,,,,,,
honse,honsɛ,v,grip; grasp; clutch; hold tightly; squeeze; hold on,2,,,,,,,,isae,,,,,,,,,,,,,,,
hontsu,hontsu,v,retain; hold back,2,,,,,,,,ivan,,,,,,,,,,,,,,,
hzen,hzɛn,v,pass,1,,,,,,,,ivantom,,,,,,,,,,,,,,,
hzenyo,hzɛnjo,v,leave behind,1,,,,,,,,iyyn,,,,,,,,,,,,,,,
i'emn,iʔɛmn,v,worship,1,,,,,,,,syoji,,,,,,,,,,,,,,,
ibiqse,ibiqsɛ,v,join with; join along; come join,2,,,,,,,,,,,,,,,,,,,,,,,
ifanon,ifɑnon,v,experience,,,,,,,,,jiphu,,,,,,,,,,,,,,,
ii'qe'ak,ɪʔqɛʔɑk,v,alert; alarm (unintentionally),4,,,,,,,,jutso,ʒutso,v,2,,,,,,,,,,,,
ii'qe'kae,ɪʔqɛʔke,v,alert; alarm (inform),4,,,,,,,,,,,,,,,,,,,,,,,
iibvha,,v,gasp (in surprise),3,,,,,,,,kaebu,,,,,,,,,,,,,,,
iido,ɪdo,v,seek; look for; search for,1,,,,,,,,kayo,,v,1,,,,,,,,,,,,
iila'en,ɪlɑʔɛn,v,thirst,,,,,,,,,kayso,,,,,,,,,,,,,,,
ikhritsu,,v,discount; disregard; dismiss,2,,,,,,,,,,,,,,,,,,,,,,,
ikhwii,ikʰwɪ,v,snow; flurry,,,,,,,,,,,,,,,,,,,,,,,,
ilanyo,ilɑnjo,v,bless,1,,,,,,,,,,,,,,,,,,,,,,,
ilq,,v,berate; criticize; scold,,,,,,,,,kewo,,,,,,,,,,,,,,,
ilqman,,v,abuse,,,,,,,,,,,,,,,,,,,,,,,,
ilunda,ilundɑ,v,isolate,,,,,,,,,khet,,,,,,,,,,,,,,,
ilunmbak,ilunmbɑk,v,to banish or make an outcast,,,,,,,,,kiq,,,,,,,,,,,,,,,
ilunmge,ilunmgɛ,v,to be isolated; to be alone (alt can use copula +alone; this is more like done to you on purpose; form of punishment/bullying),,,,,,,,,,,,,,,,,,,,,,,,
jaak,ʒɑɑs,v,combine with; be one with; be together with,,,,,,,,,kize,,,,,,,,,,,,,,,
jaes,ʒes,v,row,1,,,,,,,,klict,,,,,,,,,,,,,,,
jakae,ʒɑke,v,combine; merge; unite,,,,,,,,,,,,,,,,,,,,,,,,
javha,ʒɑβɑ,v,mix together,3&,,,,,,,,kwara,,v,1,,,,,,,,,,,,
jayo,ʒɑjo,v,mingle; interact,1&,,,,,,,,kwo,,,,,,,,,,,,,,,
jehkae,ʒɛːke,v,poison,4&,,,,,,,,kyohne,,adj,,,,,,,,,,,,,
jehlak,ʒɛːlɑk,v,be poisoned,4&,,,,,,,,kysi,,,,,,,,,,,,,,,
jetai,ʒɛtai,v,reach,1,,,,,,,,larq,,,,,,,,,,,,,,,
jikse,ʒiksɛ,v,cross,2,,,,,,,,ler,,,,,,,,,,,,,,,
jue,ʒuwɛ,v,roll; tumble; do gymnastics or parquor,1,,,,,,,,let,,,,,,,,,,,,,,,
jue'en,ʒuwɛʔɛn,v,roll; tumble (accidentally),1,,,,,,,,,,,,,,,,,,,,,,,
juelcet,ʒuwɛlçɛt,v,be rolled up,2,,,,,,,,lex,,,,,,,,,,,,,,,
juese,ʒuwɛsɛ,v,roll; roll up,2,,,,,,,,liika,,,,,,,,,,,,,,,
kafu'a,kɑfuʔɑ,v,exhale,1&,,,,,,,,loek,,,,,,,,,,,,,,,
kantzaetat,kɑndzetɑt,v,tempt fate; test limits; court death; raise a flag (lit. kick at the rock cairn),1,,,,,,,,lowr,,,,,,,,,,,,,,,
kashvha,kɑʃβɑ,v,whisk or whip a liquid/batter,3&,,,,,,,,lulu,,,,,,,,,,,,,,,
kauynukii,,v,stick your tongue out; be flippant or ironic (lit tongue in teeth),1,,,,,,,,lyii,,adj,,,,,,,,,,,,,
kes'en,kɛsʔɛn,v,sleep; rest,1,,,,,,,,lyulcet,lʲulçɛt,v,2,,,,,,,,,,,,
keskse,kɛsksɛ,v,copy; transcription,,,,,,,,,,,,,,,,,,,,,,,,
kesktso ,kɛsktso,v,copy; imitate,,,,,,,,,lyuse,lʲusɛ,v,2,,,,,,,,,,,,
keucman,kœçmɑn,v,scrape; scrape off (mentally; figuratively),3,,,,,,,,ma'ito,,,,,,,,,,,,,,,
keucvha,,v,scrape; scrape off (physically),,,,,,,,,,,,,,,,,,,,,,,,
khae,kʰe,v,run,1,,,,,,,,mace,,,,,,,,,,,,,,,
khae'en,kʰeʔɛn,v,flee; run away; escape; have an escapism mentality,1,,,,,,,,,,,,,,,,,,,,,,,
khaekae,kʰeke,v,chase,4,,,,,,,,mah,,,,,,,,,,,,,,,
khaese,kʰesɛ,v,run somewhere; run a race,2,&,,,,,,,mahi,,,,,,,,,,,,,,,
khaeyo,kʰejo,v,to think fast,1,,,,,,,,mahoa,,,,,,,,,,,,,,,
kheth'en,kʰɛθʔɛn,v,appear; fade into existance (esp. for ghosts and apparations),1,,,,,,,,maht,,,,,,,,,,,,,,,
khethcet,kʰɛθçɛt,v,appear suddenly; teleport in,2,,,,,,,,mahth,,,,,,,,,,,,,,,
khethse,kʰɛθsɛ,v,show up; appear,2,,,,,,,,maite,,,,,,,,,,,,,,,
khos'en,kʰosʔɛn,v,wake up,1,,,,,,,,malaer,,,,,,,,,,,,,,,
khosse,kʰossɛ,v,wake someone,2,,,,,,,,,,,,,,,,,,,,,,,
khusak,kʰusɑk,v,crystalize,,,,,,,,,mao da,,,,,,,,,,,,,,,
kiisvha,kɪsβɑ,v,fry,,,,,,,,,,,,,,,,,,,,,,,,
kimse,kimsɛ,v,know through practice; experienced knowledge; hands on practice,2,,,,,,,,maqte,,,,,,,,,,,,,,,
kimvh,kimβ,v,understand (kinda implies knowledge hitting you on the head),3,,,,,,,,mas,,,,,,,,,,,,,,,
kimyo,kimjo,v,know,1,,,,,,,,maxe,,,,,,,,,,,,,,,
kombaekae,,v,divide apart; split apart; divide asunder (implies dividing and moving far apart; esp violently),4,,,,,,,,mban,,,,,,,,,,,,,,,
komy,komə,v,to move violently; to shake or push,1,,,,,,,,merrop,,,,,,,,,,,,,,,
komycet ,koməçɛt,v,to have mob-mentality,2,,,,,,,,mid,,,,,,,,,,,,,,,
komyda ,komədɑ,v,to have passion/zeal for a goal,4,,,,,,,,mida,,,,,,,,,,,,,,,
komykae ,koməke,v,to rouse intense feeling in; excite to passion,4,,,,,,,,midas,,,,,,,,,,,,,,,
komyse ,koməsɛ,v,to attack; assault to the degree of almost lynching,2,,,,,,,,mieo,,,,,,,,,,,,,,,
komytsu ,komətsu,v,to interrogate; to push for answers,2,,,,,,,,mige,,v,4,,,,,,,,,,,,
komyyo ,komjəo; koməjo,v,to agitate emotionally,1,,,,,,,,mihe,,,,,,,,,,,,,,,
kpevha,kpɛβɑ,v,bake,3&,,,,,,,,mite,,n,,,,,,,,,,,,,
kshykae,kʃəke,v,thin,4&,,,,,,,,moke,,,,,,,,,,,,,,,
kshyse,kʃəsɛ,v,powder; dust,2&,,,,,,,,mosh,,,,,,,,,,,,,,,
kuyohe'en,kujohɛʔɛn,v,vibe (the music hits you just right),1&,,,,,,,,,,,,,,,,,,,,,,,
kuyoheyo,kujohɛjo,v,vibe (because you want to),1&,,,,,,,,mot'uqi,,v,1,,,,,,,,,,,,
kveu,kvœ,v,note; take notes; track; document,1,,,,,,,,moze,,,,,,,,,,,,,,,
kveu'en,kvœʔɛn,v,learn accidentally,1,,,,,,,,myhno,,,,,,,,,,,,,,,
kveucet,kvœçɛt,v,wander down an internet rabbit hole,2,,,,,,,,myyn,,,,,,,,,,,,,,,
kveum,kvœm,v,teach,1,,,,,,,,nabi,,,,,,,,,,,,,,,
kveutsu,kvœtsu,v,study; research,2,,,,,,,,nac,,,,,,,,,,,,,,,
kveuyo,kvœjo,v,learn,1,,,,,,,,nac'en,,v,,,,,,,,,,,,,
kveuyo,kvœjo,v,choose to learn,1,,,,,,,,naco,,,,,,,,,,,,,,,
kvi,kvi,v,go to,,,,,,,,,naer,,,,,,,,,,,,,,,
kvim,kvim,v,leave from somewhere,,,,,,,,,naig,,,,,,,,,,,,,,,
kvimse,kvimsɛ,v,return from,,,,,,,,,nan,,,,,,,,,,,,,,,
kvise,kvisɛ,v,return to; go back; come back; make it back,2,,,,,,,,ndu,,,,,,,,,,,,,,,
ky,kə,v,stare at; look at,1,,,,,,,,nia,,,,,,,,,,,,,,,
ky'en,kəʔɛn,v,see ,1,,,,,,,,nid,,,,,,,,,,,,,,,
kycet,kəçet,v,watch (see something that's happening),2,,,,,,,,nidi,,,,,,,,,,,,,,,
kym,kəm,v,turn away; look away from,,,,,,,,,noht,,,,,,,,,,,,,,,
kyoman,kjomɑn,v,mentally fight; battle with wits,3&,,,,,,,,nohy,,,,,,,,,,,,,,,
kyovha,kjoβɑ,v,battle; war (against),3&,,,,,,,,non,,,,,,,,,,,,,,,
kyuy,kjuə,v,sing; chirp (birds and insects); whistle (people; and wind),1,,,,,,,,ntom,,,,,,,,,,,,,,,
kyuylse,kjuəlsɛ,v,play an instrument/song (for inanimate objects like music boxes),1,,,,,,,,ntu,,,,,,,,,,,,,,,
kyuyse,kjuəsɛ,v,play an instrument/song (needs someone),2,,,,,,,,nuteg,,,,,,,,,,,,,,,
kyyo,kəjo / kjəo,v,stare into; look into,1,,,,,,,,,,,,,,,,,,,,,,,
lenyo,lɛnjo,v,wander,1,,,,,,,,nya,,,,,,,,,,,,,,,
leqese,lɛqɛsɛ,v,harvest,1,,,,,,,,nyw,,,,,,,,,,,,,,,
leulda,lœldɑ,v,conquer,4,,,,,,,,o,,,,,,,,,,,,,,,
leulkae,lœlke,v,invade; infect,4,,,,,,,,o ha' dang ba,,,,,,,,,,,,,,,
leusmse,lœsmsɛ,v,let out,2,,,,,,,,oawki,,,,,,,,,,,,,,,
leusse,lœssɛ,v,let in,2,,,,,,,,ohl,,,,,,,,,,,,,,,
levhkae,lɛβke,v,paint,4,,,,,,,,,,,,,,,,,,,,,,,
